gene	chr	start	end	expression_CCLE	replication_time	noncoding_mutation_rate	local_GC_content	HiC_compartment	local_gene_density	wgs_mean_depth	wgs_percent_20x	capture_on_target_rate	capture_mean_depth	capture_pct200	capture_mean_percentGC
C8orf59	8	86126288	86132643	99037.92	1463	0.000005784334	0.39768	0.01325651	5	49.32432	96.54054	0.8186943	111.7639	13.29836	33.635
MROH6	8	144648365	144654928	2183482	235	0.000003761811	0.60325	0.03676814	29	42.78378	70.2973	0.9278666	28.50164	0.2491803	65.67692
C8orf74	8	10530147	10558103	110361.9	481	0.000002724397	0.51294	0.009377166	6	38.97297	81.83784	0.9005191	81.64262	11.75082	59.08065
C8orf76	8	124232231	124253617	545561.4	171	0.000002556011	0.46923	0.02214784	6	63.40541	93.51351	0.8460615	115.8	13.92131	41.11417
KIAA1456	8	12803183	12887282	111626.5	643	0.000005653017	0.41375	-0.01093751	7	47.43243	96.40541	0.9063071	74.60984	3.383607	45.25081
NUGGC	8	27879483	27941388	409228.4	222	0.000001776159	0.46934	0.03436317	13	47.56757	95	0.8417503	62.42295	6.432787	47.22791
SBSPON	8	73976779	74005507	161465	570	0.000004070241	0.40669	0.01803663	3	43.72973	80.24324	0.8887279	105.4918	13.80656	52.39183
AARD	8	117950464	117956237	495170.8	346	0.000004485190	0.37717	0.0158329	5	44.02703	68.94595	0.8814405	55.90492	0.09836066	54.60911
C8orf86	8	38368352	38386180	840384.4	454	0.000002349418	0.48473	0.04599451	19	54.62162	98.78378	0.8597368	150.8918	15.79016	50.77477
C9	5	39284379	39364655	168072.9	424	0.000003678358	0.38302	-0.007968409	7	64.24324	98.08108	0.8942428	127.8885	13.89836	39.32732
ARHGEF39	9	35659341	35665278	1202125	248	0.000001987574	0.47689	0.0373463	21	50.67568	91.89189	0.5042205	88.82295	7.370492	51.76894
ERCC6L2	9	98637900	98731121	260804	471	0.000002199379	0.380565	0.02480897	4	45.89189	94.05405	0.8700007	107.9508	7.311475	35.89627
IDNK	9	86237966	86259038	493702	567	0.000002523720	0.41705	-0.008009229	4	55.32432	99.05405	0.8560667	127.4787	11.31475	43.91209
C9orf106	9	132083295	132084882	1220935	283	0.000002310954	0.51847	0.04758928	26	49.27027	98.24324	0.9200385	93.93115	5.347541	58.12203
EQTN	9	27284655	27297137	116649.3	454	0.000002635520	0.40143	-0.03384669	6	63.37838	93.78378	0.8613749	77.85574	4.04918	34.27799
C9orf114	9	131584346	131592085	1768145	201	0.000002091688	0.52273	0.03435171	33	45.27027	89.32432	0.8529122	107.9049	16.20656	57.4235
C9orf116	9	138387026	138391761	298554.2	539	0.000003629877	0.52167	0.01406298	7	44.62162	83.21622	0.8529735	75.4918	4.642623	52.79803
C9orf117	9	130469271	130476303	1098647	172	0.000001996692	0.46788	0.03214081	15	48.43243	92.86486	0.9157168	61.14098	3.160656	58.2039
SWI5	9	131038425	131051267	1813435	201	0.000002004294	0.53521	0.04624323	32	46.48649	93.13514	0.8650669	125.482	16.30492	55.93846
TMEM261	9	7796493	7799799	73227.85	1033	0.000003919779	0.39166	-0.0325313	2	32.64865	70.94595	0.8981553	81.16393	3.908197	57.34176
TMEM246	9	104237609	104249475	112814	872	0.000004122242	0.40365	-0.01539047	9	48.81081	96.16216	0.979814	111.8754	9.652459	54.03791
FAM221B	9	35817014	35828744	847663.2	227	0.000001945547	0.47901	0.05437345	29	52.32432	98.86486	0.9513332	164.9607	27.52459	50.19246
C9orf129	9	96080482	96108696	439538.3	426	0.000002113542	0.491625	0.04110873	14	44.81081	89.43243	0.4596333	151.2459	20.28197	59.17578
C9orf131	9	35041102	35045987	782447.4	350	0.000002171427	0.46554	0.04175105	27	52.75676	98.10811	0.9913558	243.6492	44.82295	52.99361
C9orf135	9	72435731	72521147	243260.3	478	0.000002679046	0.38771	-0.007969897	8	47.62162	96.43243	0.8464057	94.7082	4.462295	39.37527
C9orf139	9	139921916	139931234	1951939	202	0.000003757480	0.62853	0.03992309	43	37.13514	67.24324	0.5632383	118.3213	15.9541	62.99642
SAPCD2	9	139956581	139965028	1951939	202	0.000003757480	0.62853	0.03992309	43	29.91892	52.83784	0.8623023	29.88852	2.993443	62.62035
C9orf142	9	139886870	139888427	1979517	188	0.000003442311	0.55714	0.03406115	36	41.59459	79.94595	0.9477886	63.3541	3.160656	63.01049
LURAP1L	9	12775012	12823058	77481.5	482	0.000003650345	0.353435	-0.03236636	2	42.43243	82.91892	0.9028105	135.1082	23.59016	47.15702
C9orf152	9	112961848	112970413	203262.9	245	0.000002740271	0.43465	0.03184315	6	51.02703	96.18919	0.9324431	160.5377	26.08197	53.90764
C9orf153	9	88842227	88874519	311397.6	417	0.000003030093	0.42925	0.007589711	5	50.24324	95.10811	0.7632494	77.52131	2.855738	38.63343
C9orf156	9	100666772	100684852	468629.2	276	0.000002224817	0.43619	0.03824552	12	56.37838	98.40541	0.9457383	112.0656	11.46885	44.93485
C9orf16	9	130922539	130926207	1762678	201	0.000002004484	0.54061	0.04419654	28	39.10811	81	0.8319594	26.23934	0.3147541	58.6296
C9orf163	9	139377947	139380518	1413299	233	0.000002715992	0.58455	0.04412388	23	46.43243	78.37838	0.9872704	59.56393	3.167213	61.85225
TOR4A	9	140172280	140177092	1724821	399	0.000004580567	0.63341	0.04273411	58	26.48649	46.75676	0.9236219	10.03607	0	68.30079
C9orf170	9	89763559	89774641	123701.6	421	0.000003541737	0.40149	-0.008315921	5	45.08108	86.83784	0.8426055	52.91475	0.6360656	51.36727
C9orf171	9	135285611	135448674	1522970	492	0.000002627609	0.46177	0.03565195	7	42.10811	85.40541	0.782143	96.48525	8.980328	57.40582
C9orf172	9	139738867	139741796	1921909	176	0.000003185964	0.57812	0.04378507	30	25.24324	48.2973	0.9541716	20.23934	0	67.9903
C9orf173	9	140145730	140147934	1724821	399	0.000004580567	0.63341	0.04273411	58	39.72973	72.59459	0.9027684	35.92787	3.039344	58.90837
AAED1	9	99403534	99417599	322237.3	430	0.000002650180	0.43608	0.02611974	7	39.2973	78.37838	0.8891726	102.7279	13.78689	39.53353
RPP25L	9	34610493	34612101	731413.4	298	0.000002144556	0.53872	0.05119004	21	52.05405	90.40541	0.9376279	105.5049	8.032787	59.95419
C9orf24	9	34379017	34397849	478814.9	302	0.000002038225	0.43786	0.03756575	13	51.56757	87.37838	0.85974	134.4492	19.8623	55.14779
FAM219A	9	34398183	34458568	629612.3	302	0.000002052890	0.451805	0.04029607	11	45.35135	74.48649	0.7838029	96.97049	12.54754	57.59698
C9orf3	9	97488994	97849440	250013.2	432	0.000002245146	0.439102	0.0349103	8	51.2973	93.59459	0.8483813	142.3311	22.80328	45.12324
MSANTD3	9	103189642	103213511	245284.4	516	0.000003235915	0.409785	0.00002219297	7	52.40541	98.59459	0.9052893	69.12459	1.052459	44.91062
FRRS1L	9	111899581	111929571	338668	272	0.000002141380	0.410195	0.01785487	8	42.48649	79.94595	0.9205987	113.3607	14.41311	41.97386
C9orf40	9	77561500	77567802	95382.92	649	0.000003843590	0.41201	-0.01808763	4	29.97297	60.40541	0.9053159	62.22623	7.347541	47.2147
C9orf41	9	77597875	77643310	95299	649	0.000003820573	0.400825	-0.01279312	5	46.72973	88.48649	0.8776139	109.6525	12.16066	35.42537
C9orf43	9	116173022	116191877	390185.8	297	0.000002332053	0.45786	0.03573573	19	54.45946	98.54054	0.8797092	132.6393	17.43279	43.76626
PLGRKT	9	5357973	5437860	373599.3	629	0.000002134375	0.389575	0.01822938	12	45.7027	97.2973	0.6408276	84.48525	3.144262	35.31318
C9orf47	9	91605778	91611055	248480.2	646	0.000002962136	0.4523	0.004173943	7	29.16216	60.78378	0.2961724	30.41639	0	58.29695
TMEM245	9	111777416	111882225	337902	387	0.000002170181	0.39513	0.01255167	7	46.7027	88.05405	0.8633658	99.0918	10.39672	40.38141
C9orf50	9	132374506	132383055	886774.9	205	0.000002396520	0.52173	0.03879456	23	39.81081	78.02703	0.9203692	74.94098	4.616393	59.68525
FAM206A	9	111696673	111703235	337388.9	433	0.000002216485	0.41085	0.011561	4	51.81081	92.75676	0.888096	97.92787	7.383607	37.58518
C9orf64	9	86553229	86571663	460176.5	343	0.000002525794	0.39114	0.002023314	9	51.32432	97.16216	0.9042946	117.7902	10.49508	46.67274
C9orf66	9	213109	215893	219109.8	462	0.000003683630	0.38882	-0.01036989	8	27.7027	54.91892	0.4210897	38.29508	0.1672131	59.5123
SPATA6L	9	4598321	4666674	226049.3	673	0.000002307562	0.41416	0.017272	5	46.81081	95.75676	0.6184197	78.28852	2.911475	40.73517
C9orf69	9	139006428	139010731	799089	244	0.000002804416	0.58052	0.0416624	16	32.10811	51.51351	0.8368176	58.56066	0.2	62.12638
CACFD1	9	136325087	136335909	1858670	315	0.000002452310	0.55739	0.03853361	27	40.37838	79.48649	0.8275608	85.8623	10.8459	59.9425
TMEM252	9	71151500	71155783	127056.7	578	0.000003977527	0.40574	-0.01950351	7	53.35135	99.37838	0.9091821	82.11148	1.436066	54.28994
C9orf72	9	27546544	27573842	93978.69	434	0.000003159420	0.40891	-0.01186795	9	56.67568	88.18919	0.8728459	93.2918	4.754098	37.10343
C9orf78	9	132589565	132597572	600400.9	187	0.000002402101	0.52012	0.04391731	21	52.37838	95.97297	0.8765116	136.7705	19.10492	49.70952
SPATA31E1	9	90497772	90503812	206257.4	613	0.000003959110	0.448725	0.008256775	6	47.81081	96.48649	0.974338	104.7279	10.78361	57.99076
INIP	9	115448793	115480387	525035.6	382	0.000002112889	0.39066	0.01836776	7	51.97297	98.83784	0.8110165	150.6754	17.9541	37.70828
CAAP1	9	26840684	26892826	104669.2	632	0.000003208874	0.38696	-0.02765037	1	53.94595	88.18919	0.863535	129.3738	22.41639	40.36876
C9orf84	9	114448902	114545779	540872.9	264	0.000002094414	0.39458	0.01654278	10	46	93.83784	0.912186	115.3541	10.88852	33.30785
C9orf85	9	74526423	74588369	284244.6	358	0.000002807895	0.3855	0.004757089	4	47.43243	96.62162	0.8294618	162.9639	30.3082	41.6476
RABL6	9	139702374	139735639	1921909	176	0.000003185964	0.57812	0.04378507	30	41.91892	78.21622	0.6773783	47.10164	3.72459	56.27474
C9orf89	9	95858450	95875564	504919.8	448	0.000001951216	0.51387	0.06101782	14	41.24324	83.78378	0.7880962	49.36066	2.039344	60.48769
C9orf9	9	135754290	135765418	1952019	575	0.000002632877	0.47907	0.0326727	11	46.21622	93.86486	0.8854839	190.1344	33.67869	52.42855
C9orf91	9	117373706	117408696	285717.2	202	0.000002408428	0.447675	0.01412833	10	48.97297	97.40541	0.8592996	124.4721	15.33443	54.77965
CCDC171	9	15553097	15971895	150664.8	600	0.000002570933	0.372356	-0.008711673	5	42.40541	92.67568	0.8831164	113.9344	13.66885	38.09916
NMRK1	9	77676118	77703133	95090.5	623	0.000003781016	0.399595	-0.0004718547	5	53.89189	97.62162	0.8390177	98.62623	8.429508	35.38304
STKLD1	9	136243284	136271219	1827885	416	0.000002471934	0.51489	0.02751607	23	48.24324	92.78378	0.854843	101.0623	11.31148	57.11687
AK8	9	135600965	135754198	1939494	575	0.000002643042	0.466715	0.03300246	9	48.40541	94.32432	0.8209469	93.56393	13.22951	52.75311
CA1	8	86240458	86290342	99296.23	1463	0.000005841680	0.38949	0.01461698	6	49.97297	91.43243	0.8846088	134.282	20.96393	40.07834
CA10	17	49707675	50237377	36963.42	832	0.000005368733	0.39906	-0.06822487	7	54.91892	97.32432	0.7758569	150.3016	21.4	45.71887
CA11	19	49141272	49149451	1597109	242	0.000002702743	0.53984	0.03144003	33	45.2973	91.02703	0.9018072	74.32787	4.898361	59.12829
CA12	15	63615731	63674075	449768.6	275	0.000002016597	0.43502	0.04684487	7	49.51351	94.24324	0.8295621	70.16066	2.114754	53.19222
CA13	8	86157716	86196302	99037.92	1463	0.000005784334	0.39768	0.01325651	5	53.7027	95.35135	0.8762898	189.577	34.91148	45.979
CA14	1	150230218	150237476	1213150	197	0.000003460224	0.44854	0.0377598	29	56.43243	99.40541	0.9137073	175.2557	26.96066	49.77977
CA2	8	86376131	86393721	100997	1460	0.000005870133	0.37862	-0.01763366	8	55.05405	93.2973	0.8904012	141.7475	22.38689	45.9506
CA3	8	86351056	86361265	100997	1460	0.000005870133	0.37862	-0.01763366	8	56.54054	97.16216	0.8833889	75.85246	3.236066	45.81814
CA4	17	58227302	58236904	973133.2	347	0.000002341553	0.48993	0.009961745	12	48.35135	90.75676	0.9164831	84.08525	7.954098	59.52142
CA5A	16	87921625	87970112	612550.3	133	0.000003907421	0.55105	0.0273193	8	47.18919	94.94595	0.7752876	112.7246	16.98689	51.58177
CA5B	23	15756412	15805747	170565.2	NaN	0.000002455548	0.412085	0.04232124	11	33.40541	81.75676	0.8980298	100.9246	9.816393	45.88094
CA6	1	9005922	9035146	840956.3	264	0.000001685816	0.47561	0.03084746	6	46.81081	94.35135	0.8474909	98.11148	10.07869	49.51194
CA7	16	66878282	66888047	868789.8	142	0.000001788306	0.42019	0.02394086	12	44.02703	89.89189	0.8774228	85.4459	6.977049	57.93919
CA8	8	61101423	61193954	206353.1	885	0.000004922033	0.38376	-0.01403808	1	52.81081	93.64865	0.8350225	90.03607	5.957377	41.27394
CA9	9	35673915	35681152	1202125	248	0.000001987574	0.47689	0.0373463	21	45.7027	83.97297	0.9135508	131.941	18.1541	57.34794
CAB39	2	231577557	231685789	503356.3	395	0.000002224985	0.43911	0.02877537	8	51.40541	97.54054	0.7704982	90.90164	3.8	37.63697
CAB39L	13	49882787	50018221	373856.2	343	0.000002221356	0.3941333	0.04979067	8	48.83784	96.67568	0.8698187	140.8984	17.64918	39.12571
ADCK3	1	227127938	227175246	411155.6	481	0.000002516413	0.47963	0.004611321	10	44.67568	87.56757	0.8661912	83.4623	6.445902	60.42132
CABIN1	22	24407765	24574596	749514.9	202	0.000003115798	0.48916	0.04015179	21	48.86486	89.2973	0.885548	129.2361	16.98033	54.78957
CABLES1	18	20715727	20840434	270707.8	198	0.000002047663	0.476125	0.07186782	3	43.78378	77.7027	0.807965	84.97705	8.544262	48.64389
CABLES2	20	60963686	60982339	1190359	252	0.000003311988	0.59381	0.03327004	13	48.05405	86.24324	0.8478084	144.977	21.05902	57.76994
CABP1	12	121078422	121105125	1678287	311	0.000002621670	0.479055	0.03791854	19	37.45946	73.02703	0.8471106	71.94754	8.27541	53.45442
CABP2	11	67286418	67290899	1392213	215	0.000003608753	0.57144	0.05339369	37	42.10811	82.16216	0.8545707	73.51803	6.045902	60.7083
CABP4	11	67222818	67229243	1392213	215	0.000003608753	0.57144	0.05339369	37	38.86486	77.05405	0.9484319	72.54098	4.511475	63.85663
CABP5	19	48533210	48547304	993449.8	433	0.000002739388	0.44139	0.02634007	24	51.10811	97.45946	0.8350629	100.0197	5.862295	51.06735
CABP7	22	30116344	30127818	848648.8	195	0.000002022271	0.53303	0.03687788	18	38.78378	72.56757	0.7075025	104.541	10.10492	60.82144
CABYR	18	21718955	21741563	233052.5	360	0.000002583626	0.41854	0.05241811	10	58.7027	98.10811	0.9611283	121.8361	12.19344	42.6035
CACHD1	1	64936476	65158741	213590.9	581	0.000001933408	0.402	-0.005703065	4	48.51351	96.35135	0.8896223	133.259	17.93115	44.68737
CACNA1A	19	13317256	13617274	1604988	497	0.000002734129	0.4856925	0.01180254	37	42.91892	82.78378	0.804944	61.27541	5.72459	53.19387
CACNA1C	12	2162416	2807115	457512.6	765	0.000003408201	0.4664413	0.02571217	8	52.89189	93.62162	0.771512	73.21639	6.881967	54.02493
CACNA1D	3	53529031	53846491	514645.4	578	0.000002148427	0.4427825	0.04238587	16	47.45946	93.75676	0.8622232	138.918	19.0918	47.88315
CACNA1E	1	181452716	181770713	111355.8	832	0.000003951016	0.43688	0.009653622	6	53.54054	97.43243	0.8403133	118.777	17.54754	50.93992
CACNA1F	23	49061524	49089833	724394.8	NaN	0.000003527064	0.50844	0.044331	36	30.51351	68.08108	0.8732811	33.9377	0.2721311	55.69809
CACNA1G	17	48638449	48704542	1559131	196	0.000001966666	0.537365	0.01925069	25	50.59459	90.10811	0.8857801	61.38033	2.947541	59.446
CACNA1H	16	1203241	1271771	1275017	294	0.000002674496	0.63952	0.02125794	44	35.05405	64.75676	0.8645023	39.09508	2.327869	63.99119
CACNA1I	22	39966758	40085738	725838.1	466	0.000002326206	0.545285	0.06024466	22	44.86486	82.64865	0.8456593	79.70492	9.82623	58.72592
CACNA1S	1	201008641	201081694	522608.8	490	0.000002510736	0.53293	0.03061653	10	50.56757	95.94595	0.8732109	127.8328	14.28852	55.98936
CACNA2D1	7	81579418	82073031	58043.62	982	0.000005315068	0.3507833	0.003957406	2	42.37838	86.64865	0.8383274	99.58033	10.50164	35.27569
CACNA2D2	3	50400233	50540892	639042.1	259	0.000001730089	0.56295	0.05749456	35	40.51351	81.86486	0.8689215	89.30164	8.344262	57.99014
CACNA2D3	3	54156693	55108582	29636.77	816	0.000003415039	0.4217809	0.01175267	6	47.18919	95.08108	0.5808511	80.53115	8.652459	46.11227
CACNA2D4	12	1901124	2027870	240777.8	593	0.000003073028	0.47705	0.02810987	8	52.54054	93.24324	0.6067299	59.14754	4.072131	55.09699
CACNB1	17	37329709	37353901	1426821	212	0.000002488629	0.514	0.03093406	21	46.94595	90.97297	0.901668	109.6098	14.37705	59.70014
CACNB2	10	18429606	18830688	74282.08	408	0.000005270919	0.402716	0.003969598	6	47.64865	91.54054	0.8334026	107.1738	11.63279	44.44886
CACNB3	12	49212512	49222724	1655612	214	0.000002447487	0.51475	0.05713107	20	50.10811	93.89189	0.9181502	109.0426	13.05902	57.82506
CACNB4	2	152689288	152955593	279730.2	592	0.000002080698	0.406705	0.02061187	7	49.18919	92.59459	0.7808196	72.39344	5.37377	44.28031
CACNG1	17	65040706	65052909	300354.5	491	0.000002566927	0.51851	-0.02954485	7	49.51351	93.32432	0.8486899	111.9869	7.101639	59.44682
CACNG2	22	36960104	37098903	1202913	359	0.000002425112	0.492485	0.04160112	11	38.18919	74.83784	0.8606077	188.1148	36.6623	55.58381
CACNG3	16	24266876	24373736	360425.1	348	0.000003493011	0.43617	0.007865917	12	47.59459	97.08108	0.8719631	144.4852	21.03934	50.02839
CACNG4	17	64961013	65029518	293409.4	491	0.000002566723	0.49683	-0.023173	5	44.54054	85.43243	0.8549688	121.9377	14.71475	57.82686
CACNG5	17	64873451	64881356	284959.4	536	0.000002554045	0.47529	-0.0391421	4	51.67568	96.37838	0.9351324	125.659	12.94098	55.15401
CACNG6	19	54495542	54515918	806175.1	338	0.000005608535	0.509065	-0.03952464	23	35.78378	65.56757	0.8900466	134.9279	19.07213	58.00674
CACNG7	19	54416071	54446268	813774.5	360	0.000005591120	0.51803	-0.03256132	20	43.05405	89.05405	0.897081	115.7246	14.65574	60.54519
CACNG8	19	54466294	54486139	813774.5	360	0.000005591120	0.51803	-0.03256132	20	23	44.78378	0.8083991	24.01639	0	65.80398
CACYBP	1	174968571	174981163	176817.9	828	0.000004312112	0.39316	0.004125236	4	51.48649	93	0.8525558	88.31148	5.15082	38.51815
CAD	2	27440258	27466653	1238919	230	0.000001962410	0.48305	0.03887446	27	51.89189	95.75676	0.9253565	140.9508	18.71803	54.77534
CADM1	11	115044346	115375241	29878.69	993	0.000004371581	0.401675	0.005087322	5	47.48649	94.94595	0.7208802	121.9705	15.59016	44.87573
CADM2	3	85008133	86123577	8466.885	1155	0.000006462939	0.3424375	-0.01912722	1	37.94595	86.75676	0.5327263	109.9508	12.51803	38.31757
CADM3	1	159141377	159172932	99569.46	785	0.000005706317	0.40709	0.0143302	24	53.27027	94.67568	0.8480369	93.17049	7.160656	52.98597
CADM4	19	44126522	44143991	441738.4	209	0.000003355374	0.51494	0.005700885	23	41.56757	83.59459	0.877994	125.7016	19.39344	57.97448
CADPS	3	62384021	62861064	76551.92	1010	0.000002854689	0.398225	0.003193172	4	45.13514	92.89189	0.8477262	131.3902	17.08197	44.16516
CADPS2	7	121958479	122526813	61223.54	1046	0.000003262870	0.3700829	-0.003324408	4	50.72973	94.89189	0.419369	70.78033	5.996721	39.46426
CAGE1	6	7326889	7389942	761239.5	283	0.000002702941	0.45123	0.01469086	5	51.32432	96.18919	0.5036076	79.87869	6.767213	37.0259
CALB1	8	91070838	91095107	272947.6	534	0.000004729093	0.3737	0.02495102	5	51.18919	94.97297	0.8461296	141.2033	22.32459	38.60673
CALB2	16	71392616	71424339	402230.8	648	0.000003378091	0.43401	0.0002705646	10	47.51351	93	0.8263038	150.5049	20.75082	51.14445
CALCA	11	14988216	14993832	344274.2	627	0.000003541046	0.38344	-0.009191654	7	50	97.7027	0.8882839	134.9705	15.32131	53.79658
CALCB	11	15095146	15100177	277847.8	692	0.000003579854	0.41121	-0.01838172	8	47.91892	97.08108	0.8677572	92.26557	3.845902	58.62557
CALCOCO1	12	54104903	54121307	1501666	272	0.000003062398	0.47996	0.05562151	30	54.59459	97.75676	0.8928108	135.3869	15.33443	54.99456
CALCOCO2	17	46908372	46942228	757962.7	239	0.000003052795	0.45792	0.02863332	24	60.13514	99.40541	0.8681478	117.7148	12	41.9805
CALCR	7	93053799	93204042	197869.5	823	0.000004560686	0.36459	-0.009844873	7	53.62162	95.02703	0.8643121	131.1803	16.42295	40.94334
CALCRL	2	188207851	188313021	61297.38	453	0.000004135289	0.335555	0.001056695	5	42.89189	91.81081	0.8740937	104.6852	11.44262	35.10513
CALD1	7	134464164	134655479	390559	513	0.000002239558	0.4038267	0.0170451	8	54.91892	98.81081	0.8487351	73.14754	4.32459	42.54774
CALHM1	10	105213144	105218648	542720.5	170	0.000001640843	0.48782	0.05093076	20	43.32432	75.94595	0.9448101	63.71475	1.219672	63.4355
CALHM2	10	105206545	105212162	542720.5	170	0.000001640843	0.48782	0.05093076	20	44.86486	86.83784	0.94068	118.8361	9.095082	59.84334
CALM1	14	90863327	90874617	323571.4	599	0.000002223279	0.43249	0.02056206	7	54.16216	94.05405	0.8557222	110.0721	13.89836	39.05136
CALM2	2	47387221	47403740	811121.9	132	0.000002108265	0.464985	0.03542165	12	58.51351	97.81081	0.8900797	103.1115	9.036066	38.25964
CALM3	19	47104512	47114038	1139694	347	0.000002355200	0.48864	0.02826834	28	47.27027	90.21622	0.8715889	66.56393	3.183607	55.98701
CALML3	10	5566924	5568225	769551.5	446	0.000002501149	0.43986	0.01667781	10	44.2973	77.10811	0.9529253	47.43934	0	64.12228
CALML4	15	68483044	68498448	375803.9	365	0.000002121511	0.37351	0.02775283	8	48.89189	94.51351	0.876531	114.7607	9.537705	55.2867
CALML5	10	5540658	5541533	769551.5	446	0.000002501149	0.43986	0.01667781	10	44.97297	67.97297	0.9470939	86.94426	6.347541	63.92871
CALML6	1	1846266	1848733	1434423	233	0.000002595188	0.49535	0.02723332	42	41.75676	78.2973	0.9719481	81.19344	12.83279	59.87915
CALN1	7	71244477	71877360	17685.23	956	0.000007970021	0.43283	-0.02881636	2	52.59459	97.64865	0.5792536	81.74426	5.527869	51.23342
CALR	19	13049414	13055304	1886809	335	0.000002830799	0.52216	0.03995114	39	48.51351	93.91892	0.9320929	111.3574	14.27213	53.00053
CALR3	19	16589875	16607003	808967.3	218	0.000002430281	0.5096	0.03547418	20	49.37838	95.94595	0.8974795	106.2885	8.977049	43.21098
CALU	7	128379346	128411530	852821	304	0.000002689585	0.44987	0.03272482	11	56.05405	99.37838	0.8971959	137.741	18.51475	42.44863
CALY	10	135138928	135150475	386585	472	0.000004410141	0.58641	0.0129668	17	34.78378	68.7027	0.7685853	15.35738	0	64.06454
CAMK1	3	9799033	9811661	954590	264	0.000002125631	0.486155	0.03867729	14	45.35135	93.62162	0.05764847	129.3934	9.721311	61.44111
CAMK1D	10	12391583	12871731	326642.3	556	0.000002717540	0.4542667	0.03528567	8	48.27027	90.45946	0.729157	102.0918	8.891803	47.42534
CAMK1G	1	209757045	209787283	204559.2	405	0.000003607767	0.43135	-0.00304879	3	54.56757	97.18919	0.8652955	149.1475	21.03934	51.10189
CAMK2A	5	149599054	149669403	978175.2	220	0.000001546509	0.518105	0.04730781	17	43.51351	88.21622	0.8265473	75.7541	3.386885	58.0248
CAMK2B	7	44256749	44365230	1467518	412	0.000002710141	0.53389	0.06483074	17	44.64865	79.67568	0.7887034	66.25246	5.672131	59.9365
CAMK2D	4	114372190	114683083	166680.5	632	0.000002721441	0.367725	0.02084166	2	43.37838	94.45946	0.8154832	95.54754	7.068852	39.95134
CAMK2G	10	75572259	75634343	998684.6	191	0.000001920858	0.4859	0.04233803	23	48.67568	88.51351	0.8217638	111.0197	14.02295	52.65427
CAMK2N1	1	20808885	20812728	573203.4	429	0.000002001994	0.49115	0.02970301	17	25.51351	58.59459	0.8296589	65.0918	5.262295	46.91386
CAMK4	5	110560082	110820746	192731.3	767	0.000003948939	0.3703825	0.02925729	5	40.54054	85.97297	0.8327633	105.2164	9.27541	40.35202
CAMKK1	17	3763625	3796337	505430.4	215	0.000002446986	0.48618	0.03015542	26	44.94595	90.32432	0.8541732	90.17705	7.704918	58.83935
CAMKK2	12	121675496	121736111	981640	258	0.000002713263	0.48044	0.04165534	21	45.86486	88.62162	0.8546282	92.34426	13.15082	57.15033
CAMKV	3	49895422	49907369	1298303	170	0.000001590602	0.511215	0.03849721	37	41.56757	84.62162	0.9473768	100.7279	9.636066	57.54403
CAMLG	5	134074206	134087841	910140.4	193	0.000001665707	0.43609	0.03325873	13	44.75676	89.81081	0.91353	82.68852	4.278689	44.57056
CAMP	3	48264862	48266975	1113209	193	0.000001631375	0.47573	0.03992278	12	46.51351	95.40541	0.8810347	131.3574	21.99672	51.76787
CAMSAP1	9	138700334	138799005	721696.6	446	0.000003093806	0.53694	0.04560413	13	48.40541	93.59459	0.9348016	96.3082	11.90164	55.53236
CAMSAP2	1	200708686	200829829	492001.3	374	0.000002695057	0.39265	0.01211286	6	48.83784	94.27027	0.933267	139.6721	18.2623	38.18217
CAMTA1	1	6845384	7829763	289717.2	462	0.000002003146	0.4783573	0.02256161	13	46.35135	88.18919	0.8193064	134.9508	18.00984	54.41329
CAMTA2	17	4871287	4890960	1416161	231	0.000002170530	0.52008	0.0299059	31	44.18919	90.05405	0.9223951	127.0656	15.37377	56.70157
CAND1	12	67663061	67708388	237288.9	810	0.000003178252	0.37478	-0.01323872	3	54.75676	96.59459	0.9412393	151.141	22.92131	38.00988
CAND2	3	12838171	12876313	508964.8	269	0.000001993982	0.47593	0.03857116	9	42.10811	82.10811	0.9237309	86.02623	5.540984	60.89582
CANT1	17	76987799	77005899	612708	177	0.000002561852	0.528775	0.02167601	17	45.13514	87.2973	0.9434561	154.3902	27.91148	57.30884
CANX	5	179125930	179158637	1624288	256	0.000003105319	0.49315	0.04352828	13	45.27027	96.02703	0.890673	138.3869	18.18033	40.12754
CAP1	1	40506255	40538323	873408	387	0.000002160884	0.43609	0.02286416	15	60.27027	98.91892	0.8937927	123.4066	13.97377	45.05683
CAP2	6	17393736	17558021	249798.1	454	0.000002800868	0.4223267	-0.007858038	3	54.72973	99.48649	0.7949322	159.5836	24.52459	44.97015
CAPG	2	85621871	85637676	1067736	180	0.000001846859	0.48736	0.03899153	10	52.02703	96.27027	0.9144896	109.518	13.4918	58.80246
CAPN1	11	64949343	64979476	3317462	168	0.000002071035	0.50306	0.05359136	44	48.24324	92.89189	0.839899	58.36721	4.12459	59.29521
CAPN10	2	241526145	241557122	837485.3	485	0.000002794797	0.52944	0.0345863	12	43.27027	78.7027	0.9035282	131.8033	19.76721	59.91526
CAPN11	6	44126548	44152139	1176811	216	0.000002555742	0.51072	0.04851687	22	52.62162	95.10811	0.8752253	94.73443	11.88197	54.98728
CAPN12	19	39220832	39235114	1697047	322	0.000002388626	0.53667	0.04450185	22	43.48649	79.83784	0.8855921	51.33443	1.481967	61.28412
